Metacritic_score,Normalized_playtime,Positive_review_threshold
0.75,0.429,1
0.53,0.236,0
0.85,0.625,1
0.77,0.268,1
0.73,0.22,0
0.58,0.442,1
0.94,0.431,1
0.75,0.479,1
0.69,0.517,1
0.8,0.731,1
0.81,0.585,1
0.74,0.495,1
0.84,0.462,1
0.91,0.651,1
0.88,0.335,0
0.73,0.444,1
0.89,0.414,1
0.59,0.495,0
0.84,0.399,1
0.69,0.294,1
0.63,0.537,0
0.66,0.537,1
0.79,0.506,1
0.68,0.44,0
0.85,0.481,1
0.77,0.371,1
0.84,0.329,1
0.71,0.291,0
0.72,0.688,1
0.68,0.449,0
0.73,0.449,0
0.81,0.558,1
0.7,0.394,1
0.79,0.501,0
0.87,0.395,1
0.81,0.377,1
0.68,0.274,0
0.82,0.846,1
0.61,0.395,1
0.46,0.399,0
0.78,0.459,1
0.86,0.588,1
0.84,0.383,1
0.73,0.422,1
0.85,0.751,1
0.61,0.405,1
0.79,0.489,1
0.83,0.358,1
0.8,0.577,1
0.7,0.457,1
0.86,0.369,1
0.6,0.286,1
0.75,0.462,1
0.77,0.624,1
0.63,0.073,0
0.65,0.388,0
0.88,0.392,1
0.73,0.412,1
0.65,0.418,0
0.83,0.631,1
0.69,0.452,1
0.79,0.593,1
0.86,0.564,1
0.71,0.506,0
0.8,0.495,1
0.73,0.44,1
0.83,0.391,1
0.91,0.541,1
0.62,0.546,0
0.7,0.361,0
0.57,0.046,0
0.79,0.652,1
0.82,0.408,1
0.94,0.705,1
0.68,0.095,0
0.76,0.228,1
0.76,0.264,1
0.81,0.745,1
0.87,0.354,1
0.84,0.598,1
0.8,0.489,1
0.89,0.83,1
0.79,0.545,1
0.59,0.401,1
0.75,0.19,0
0.64,0.284,0
0.73,0.293,1
0.76,0.277,1
0.8,0.377,1
0.79,0.728,1
0.69,0.159,0
0.71,0.43,1
0.72,0.442,1
0.85,0.451,1
0.81,0.522,1
0.78,0.553,1
0.51,0.405,0
0.7,0.346,1
0.74,0.481,1
0.78,0.405,1
0.69,0.312,1
0.77,0.346,1
0.86,0.437,1
0.88,0.435,1
0.83,0.425,1
0.68,0.489,1
0.78,0.389,1
0.65,0.217,0
0.69,0.036,1
0.52,0.461,0
0.8,0.546,0
0.69,0.641,1
0.82,0.639,1
0.73,0.32,0
0.89,0.08,1
0.76,0.711,1
0.72,0.459,1
0.79,0.472,1
0.71,0.463,1
0.78,0.462,1
0.75,0.358,0
0.77,0.612,1
0.8,0.37,1
0.61,0.428,0
0.52,0.399,0
0.79,0.354,0
0.76,0.449,1
0.77,0.591,1
0.73,0.662,1
0.56,0.34,0
0.51,0.22,0
0.8,0.5,1
0.62,0.322,0
0.85,0.464,1
0.74,0.422,1
0.72,0.457,1
0.85,0.372,1
0.66,0.485,1
0.78,0.384,1
0.76,0.341,1
0.65,0.551,1
0.8,0.429,1
0.8,0.641,1
0.75,0.013,1
0.76,0.293,1
0.83,0.483,1
0.75,0.406,1
0.85,0.481,1
0.69,0.703,1
0.54,0.362,0
0.75,0.403,1
0.69,0.671,0
0.6,0.633,0
0.65,0.323,1
0.81,0.357,1
0.78,0.238,1
0.75,0.532,1
0.8,0.228,1
0.77,0.588,1
0.78,0.602,1
0.86,0.397,1
0.75,0.386,1
0.77,0.389,1
0.83,0.599,1
0.74,0.878,1
0.81,0.231,1
0.79,0.08,1
0.73,0.258,0
0.62,0.294,1
0.79,0.403,1
0.76,0.544,1
0.75,0.556,1
0.74,0.83,0
0.8,0.529,0
0.83,0.574,1
0.79,0.302,1
0.63,0.467,0
0.65,0.415,1
0.8,0.498,1
0.64,0.717,1
0.65,0.316,0
0.85,0.464,1
0.72,0.549,1
0.8,0.312,1
0.75,0.54,1
0.81,0.365,1
0.68,0.463,0
0.68,0.394,1
0.76,0.588,0
0.9,0.386,1
0.64,0.54,1
0.72,0.243,1
0.74,0.539,1
0.82,0.371,1
0.74,0.556,1
0.52,0.502,0
0.58,0.155,0
0.69,0.593,0
0.81,0.893,1
0.76,0.125,1
0.85,0.481,1
0.73,0.492,1
0.72,0.635,0
0.66,0.511,0
0.72,0.569,1
0.76,0.325,0
0.78,0.3,1
0.59,0.423,0
0.82,0.493,1
0.57,0.446,0
0.73,0.334,0
0.69,0.683,0
0.67,0.171,1
0.8,0.544,1
0.72,0.497,1
0.76,0.316,1
0.73,0.5,1
0.81,0.505,1
0.53,0.26,1
0.75,0.428,0
0.68,0.59,0
0.81,0.546,1
0.71,0.514,1
0.68,0.167,1
0.78,0.595,1
0.62,0.26,0
0.76,0.355,1
0.67,0.498,0
0.86,0.592,1
0.85,0.433,1
0.61,0.467,0
0.7,0.395,1
0.82,0.25,0
0.55,0.479,0
0.69,0.322,0
0.8,0.262,1
0.65,0.603,0
0.82,0.489,1
0.77,0.34,1
0.74,0.45,1
0.75,0.543,1
0.9,0.612,1
0.57,0.323,1
0.8,0.416,1
0.54,0.423,0
0.72,0.507,1
0.77,0.666,1
0.72,0.408,0
0.81,0.223,1
0.63,0.802,0
0.6,0.759,1
0.86,0.649,0
0.86,0.279,1
0.69,0.512,0
0.67,0.375,0
0.72,0.354,0
0.51,0.316,0
0.82,0.203,0
0.82,0.852,1
0.58,0.728,0
0.69,0.735,1
0.79,0.013,1
0.7,0.483,0
0.74,0.509,0
0.57,0.511,0
0.71,0.502,1
0.76,0.333,1
0.32,0.433,0
0.67,0.433,1
0.71,0.46,0
0.54,0.131,0
0.69,0.556,1
