Metacritic_score,Median_playtime,Price,Positive_review_threshold
0.7,0.203,0.352,0
0.77,0.6,0.856,0
0.8,0.197,0.208,0
0.79,0.521,0.28,1
0.77,0.475,0.18,1
0.79,0.622,0.424,0
0.74,0.599,0.277,1
0.82,0.455,0.28,1
0.83,0.392,0.28,1
0.69,0.013,0.136,0
0.68,0.411,0.18,0
0.57,0.36,0.136,1
0.62,0.261,0.036,0
0.41,0.252,0.136,0
0.83,0.632,0.28,1
0.76,0.713,0.856,0
0.75,0.561,0.244,1
0.86,0.702,0.28,1
0.71,0.519,0.136,1
0.76,0.697,0.568,1
0.53,0.386,0.064,0
0.81,0.541,0.28,1
0.76,0.476,0.352,0
0.69,0.531,0.208,0
0.78,0.513,0.208,1
0.81,0.56,0.352,1
0.89,0.285,0.043,1
0.7,0.314,0.036,0
0.74,0.446,0.28,0
0.78,0.392,0.208,1
0.57,0.304,0.136,0
0.69,0.295,0.208,0
0.69,0.404,0.136,1
0.85,0.407,0.208,1
0.73,0.35,0.025,0
0.5,0.285,0.093,0
0.8,0.282,0.136,1
0.73,0.579,0.28,1
0.57,0.399,0.136,0
0.65,0.108,0.064,0
0.67,0.539,0.28,0
0.73,0.529,0.208,0
0.76,0.293,0.136,0
0.76,0.327,0.136,0
0.84,0.399,0.28,1
0.84,0.514,0.28,1
0.75,0.582,0.208,1
0.78,0.298,0.208,0
0.68,0.411,0.007,0
0.74,0.661,0.424,1
0.78,0.541,0.352,1
0.69,0.396,0.28,0
0.8,0.372,0.136,1
0.61,0.589,0.568,0
0.8,0.215,0.136,0
0.77,0.457,0.136,1
0.81,0.515,0.208,1
0.79,0.429,0.352,0
0.46,0.159,0.036,0
0.85,0.013,0.136,1
0.52,0.304,0.136,0
0.66,0.48,0.1,0
0.71,0.504,0.136,0
0.74,0.088,0.136,0
0.71,0.433,0.28,0
0.69,0.547,0.1,1
0.91,0.484,0.136,1
0.58,0.435,0.208,0
0.76,0.417,0.208,1
0.84,0.537,0.856,1
0.75,0.463,0.18,0
0.78,0.695,0.712,1
0.8,0.547,0.28,1
0.85,0.326,0.208,1
0.74,0.285,0.28,1
0.74,0.584,0.28,0
0.77,0.688,0.079,1
0.7,0.417,0.136,0
0.73,0.501,0.352,0
0.84,0.751,0.856,1
0.75,0.088,0.136,1
0.86,0.506,0.28,1
0.77,0.526,0.223,0
0.8,0.591,0.28,1
0.75,0.458,0.093,1
0.79,0.569,0.136,0
0.77,0.509,0.136,1
0.73,0.298,0.252,0
0.71,0.159,0.208,0
0.8,0.081,0.1,1
0.75,0.409,0.021,1
0.68,0.646,0.136,0
0.66,0.307,0.208,0
0.83,0.452,0.352,1
0.66,0.681,0.136,0
0.75,0.54,0.496,1
0.76,0.274,0.05,1
0.59,0.488,0.352,0
0.57,0.046,0.208,0
0.77,0.411,0.18,1
0.7,0.383,0.352,0
0.76,0.566,0.352,0
0.54,0.483,0.136,0
0.74,0.508,0.424,0
0.67,0.43,0.064,1
0.82,0.587,0.424,1
0.76,0.697,0.856,1
0.76,0.802,0.568,0
0.88,0.081,0.136,0
0.73,0.551,0.28,0
0.86,0.37,0.046,0
0.87,0.406,0.568,1
0.7,0.407,0.28,0
0.71,0.575,0.712,0
0.52,0.326,0.136,0
0.62,0.392,0.136,1
0.64,0.78,0.136,0
0.83,0.511,0.28,1
0.87,0.658,0.424,1
0.8,0.267,0.136,0
0.63,0.425,0.064,1
0.7,0.614,0.856,0
0.81,0.459,0.18,0
0.8,0.587,0.424,1
0.56,0.552,0.093,0
0.73,0.342,0.136,0
0.72,0.69,0.28,0
0.87,0.576,0.424,0
0.7,0.502,0.079,0
0.79,0.427,0.28,1
0.67,0.183,0.064,0
0.43,0.353,0.208,0
0.68,0.322,0.108,1
0.77,0.448,0.122,0
0.88,0.607,0.446,1
0.72,0.637,0.856,0
0.91,0.754,0.856,0
0.82,0.352,0.136,1
0.81,0.269,0.28,1
0.73,0.767,0.28,1
0.83,0.521,0.338,1
0.72,0.445,0.28,0
0.86,0.369,0.108,1
0.64,0.384,0.136,0
0.74,0.634,0.568,1
0.69,0.558,0.208,1
0.79,0.453,0.28,1
0.78,0.197,0.136,0
0.65,0.221,0.093,0
0.85,0.454,0.18,1
0.73,0.513,0.424,0
0.82,0.056,0.136,0
0.68,0.427,0.28,0
0.83,0.793,0.28,1
0.78,0.622,0.208,1
0.72,0.468,0.28,0
0.67,0.453,0.136,0
0.62,0.548,0.136,0
0.69,0.477,0.021,0
0.77,0.276,0.28,1
0.8,0.337,0.208,1
0.79,0.491,0.352,0
0.54,0.136,0.007,0
0.82,0.25,0.036,0
0.83,0.402,0.28,1
0.87,0.466,0.136,1
0.86,0.497,0.28,1
0.59,0.136,0.136,0
0.79,0.512,0.082,0
0.77,0.448,0.28,1
0.54,0.269,0.208,0
0.76,0.516,0.568,0
0.73,0.673,0.136,0
0.79,0.441,0.28,0
0.74,0.447,0.007,1
0.77,0.799,0.136,1
0.72,0.655,0.208,1
0.87,0.623,0.28,0
0.83,0.406,0.208,1
0.82,0.64,0.28,1
0.67,0.114,0.064,0
0.84,0.637,0.013,0
0.77,0.396,0.208,1
0.78,0.551,0.208,0
0.69,0.398,0.064,1
0.82,0.566,0.28,1
0.66,0.426,0.064,0
0.75,0.364,0.136,1
0.74,0.622,0.424,0
0.68,0.345,0.136,0
0.87,0.496,0.136,1
0.8,0.577,0.136,1
0.87,0.553,0.28,1
0.6,0.396,0.108,0
0.66,0.567,0.208,0
0.81,0.337,0.273,1
0.62,0.526,0.064,0
0.69,0.322,0.208,0
0.73,0.436,0.136,0
0.83,0.471,0.28,1
0.5,0.375,0.0,0
0.74,0.507,0.208,1
0.55,0.373,0.136,0
0.78,0.316,0.064,1
0.61,0.407,0.079,1
0.88,0.53,0.28,1
0.8,0.417,0.036,0
0.71,0.442,0.025,0
0.69,0.501,0.352,0
0.75,0.551,0.28,0
0.82,0.464,0.136,0
0.67,0.435,0.064,0
0.8,0.787,0.151,1
0.83,0.484,0.208,0
0.81,0.586,0.424,1
0.72,0.355,0.208,0
0.7,0.301,0.108,1
0.8,0.441,0.712,0
0.75,0.59,0.208,0
0.78,0.239,0.208,1
